id,案内先名（name_ja）,英語名（name_en）,名詞辞書用英語,別名（alias）,カテゴリ（cat）,サブカテゴリ（subcat）,サブカテゴリ英語,エリア（area）,場所（station）,キーワード（keywords）,郵便番号（postcode）,住所（addr）,電話番号（tel）,構内（inside）,改札内（ingate）,喫煙（smoking）,座標（end_point）,緯度経度（lnglat）,日開始時間,日終了時間,月開始時間,月終了時間,火開始時間,火終了時間,水開始時間,水終了時間,木開始時間,木終了時間,金開始時間,金終了時間,土開始時間,土終了時間,公式サイトURL（url）,
119,（構外）京都銀行 京都駅前支店,"Kyoto Bank, Kyoto-ekimae Branch",,,,銀行,bank,,京都,銀行,,京都府京都市下京区東塩小路町 731 烏丸通七条下ル,075-371-5111,外,外,,,,9999,9999,0900,1500,0900,1500,0900,1500,0900,1500,0900,1500,9999,9999,https://sasp.mapion.co.jp/b/kyotobank_s/info/BA721463/,
120,（見つからず）スルガ銀行 京都支店,Suruga Bank Kyoto Branch,,,,銀行,bank,,京都,銀行,,京都府京都市下京区 西洞院東入東塩小路町843番地2 塩小路通,075-344-0752,外,外,,,,9999,9999,0900,1500,0900,1500,0900,1500,0900,1500,0900,1500,9999,9999,https://www.e-map.ne.jp/p/suruga/dtl/100932/,
121,京都中央信用金庫 八条口支店,"Hachijoguchi Branch, Kyoto Chuo Shinkin Bank",,,,銀行,bank,,京都,銀行,,京都府京都市南区東九条西山王町31,075-681-2121,外,外,,"1,97,99",,9999,9999,0900,1500,0900,1500,0900,1500,0900,1500,0900,1500,9999,9999,https://pkg.navitime.co.jp/kyoto-chushin/spot/detail?code=0000000267,
122,ゆうちょ銀行大阪支店ビックカメラＪＲ京都駅店内出張所,Japan Post Bank Osaka Branch Bic Camera JR Kyoto Station Store Branch,,,,ATM,ATM,,京都,"ATM,,ゆうちょ銀行ATM",,京都府京都市下京区東塩小路町927,,内,外,,"1,5,43",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,,
123,三菱UFJ銀行 ATMコーナー ジェイアール京都伊勢丹,Mitsubishi UFJ Bank ATM Corner JR Kyoto Isetan,,,,ATM,ATM,,京都,"ATM,みずほ銀行ATM",,京都府京都市下京区 東塩小路町901,,内,外,,"2,34,41",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,http://map.bk.mufg.jp/b/bk_mufg/info/BA592438/,
124,三井住友銀行 JR京都駅出張所,Sumitomo Mitsui Banking Corporation JR Kyoto Station Representative Office,,,,ATM,ATM,,京都,"ATM,三井住友銀行ATM",,京都府京都市下京区 塩小路下る東塩小路町901 ＪＲ京都駅ビル東ゾーン1F 京都劇場入口階段前 烏丸通,06-6534-2900,内,外,,"b2,77,20",,0700,2100,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000,https://www.e-map.ne.jp/smt/smbcbank/inf/5711000100000/,
125,ゆうちょ銀行大阪支店ＪＲ京都駅内出張所,"Yucho Bank, Osaka Branch, JR Kyoto Station Sub-Branch",,,,ATM,ATM,,京都,"ATM,ゆうちょ銀行ATM",,京都府京都市下京区塩小路町,,内,外,,"2,45,68",,0800,2100,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0800,2300,https://map.japanpost.jp/p/search/dtl/400226003600/,
126,りそな銀行 JR京都駅出張所 無人ATM,Resona Bank ATMs at the JR Kyoto Station Branch,,,,ATM,ATM,,京都,"ATM,りそな銀行ATM",,京都府京都市下京区東塩小路釜殿町31,075-221-1141,内,外,,"2,45,68",,0530,0000,0530,0000,0530,0000,0530,0000,0530,0000,0530,0000,0530,0000,https://resona-map.jp/detail.php?id=688,
127,三菱UFJ銀行ATMコーナー ＪＲ京都駅,Mitsubishi UFJ Bank ATM Corner JR Kyoto Station,,,,ATM,ATM,,京都,"ATM,三菱UFJATM",,京都府京都市下京区東塩小路釜殿町,,内,外,,"2,45,68",,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000,http://map.bk.mufg.jp/b/bk_mufg/info/BA841513/,
128,みずほ銀行ATM 京都駅八条口出張所,Mizuho Bank ATM Kyoto Station Hachijoguchi Sub-Branch,,,,ATM,ATM,,京都,"ATM,みずほ銀行ATM",,京都府京都市下京区東塩小路釜殿町,,内,外,,"1,38,70",,0800,2100,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2200,https://shop.www.mizuhobank.co.jp/b/mizuho/info/BA703688/,
129,ゆうちょ銀行大阪支店 近鉄京都駅構内出張所,"Yucho Bank, Osaka Branch, Kintetsu Kyoto Station Branch Office",,,,ATM,ATM,,京都,"ATM,ゆうちょ銀行ATM",,京都府京都市下京区東塩小路釜殿町,,内,内,,"2,35,70",,0700,2100,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,https://map.japanpost.jp/p/search/dtl/400226006700/,
130,イオン銀行ATM 近鉄京都駅１Ｆ名店街出張所,"Aeon Bank ATM, Meitengai Branch Office, 1st floor of Kintetsu Kyoto Station",,,,ATM,ATM,,京都,"ATM,ゆうちょ銀行ATM",,京都府京都市下京区東塩小路釜殿町31-1,-,内,外,,"1,23,75",,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,https://map.aeonbank.co.jp/aeonbank/spot/detail?code=0000001220,
131,京都信用金庫,Kyoto Shinkin Bank,,,,ATM,ATM,,京都,ATM,,-,-,内,外,,"1,22,75",,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,http://sasp.mapion.co.jp/b/kyoto_shinkin/info/k526/,
132,イオン銀行,Aeon Bank,,,,ATM,ATM,,京都,ATM,,-,-,外,外,,"1,22,75",,0500,2345,0500,2345,0500,2345,0500,2345,0500,2345,0500,2345,0500,2345,,
133,三井住友銀行,Sumitomo Mitsui Banking Corporation,,,,ATM,ATM,,京都,"ATM,三井住友銀行ATM",,-,-,外,外,,"1,37,70",,0700,2400,0700,2400,0700,2400,0700,2400,0700,2400,0700,2400,0700,2400,,
134,京都中央信用金庫 京都駅出張所,Kyoto Chuo Shinkin Bank,,,,ATM,ATM,,京都,ATM,,-,-,外,外,,"b1,61,39",,0730,2200,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0730,2200,,
135,ゆうちょ銀行,Japan Post Bank,,,,ATM,ATM,,京都,"ATM,ゆうちょ銀行ATM",,-,-,外,外,,"1,37,69",,0800,2100,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0800,2300,,
136,南都銀行,Nanto Bank,,,,ATM,ATM,,京都,ATM,,-,-,外,外,,"2,45,68",,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,,
137,京都銀行,Kyoto Bank,,,,ATM,ATM,,京都,ATM,,-,-,外,外,,"2,45,68",,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,,
138,滋賀銀行,Shiga Bank,,,,ATM,ATM,,京都,ATM,,-,-,外,外,,"2,45,68",,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,,
139,京都信用金庫 近鉄名店街みやこみち出張所,"Miyakomichi Sub-Branch, Kintetsu Meiyatengai, Kyoto Shinkin Bank",,,,ATM,ATM,,京都,ATM,,京都府京都市下京区東塩小路釜殿町３１−１ 近鉄名店街みやこみち内,-,外,外,,"1,23,75",,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,http://sasp.mapion.co.jp/b/kyoto_shinkin/info/k527/,
140,セブン‐イレブンハートインJR京都駅地下東口,Seven Eleven Heart Inn JR Kyoto Station underground east exit,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,売店",,京都府京都市下京区塩小路下ル東塩小路町 烏丸通,075-365-3122,内,外,,"b2,82,45",,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,http://www.e-map.ne.jp/p/711map/dtl/464662/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
141,セブン-イレブン キヨスクＪＲ京都駅西口改札内店,Seven-Eleven Kiosk JR Kyoto Station West Entrance Ticket Entrance,,,コンビニ・スーパー,売店,shop,,京都,売店,,京都府京都市下京区東塩小路釜殿町,075-353-1363,内,内,,"1,52,54",,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,http://www.e-map.ne.jp/p/711map/dtl/367976/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
142,セブン-イレブン キヨスクＪＲ京都駅0番のりば東店,Seven-Eleven Kiosk JR Kyoto Station Platform 0 Higashi,,,コンビニ・スーパー,売店,shop,,京都,売店,,ｰ,ｰ,内,内,,"1,61,53",,0700,2130,0700,2130,0700,2130,0700,2130,0700,2130,0700,2130,0700,2130,http://www.e-map.ne.jp/p/711map/dtl/399367/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
143,セブン-イレブン キヨスクＪＲ京都駅0番のりば西店,Seven-Eleven Kiosk JR Kyoto Station Platform 0 Nishi,,,コンビニ・スーパー,売店,shop,,京都,売店,,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-5462,内,内,,"1,31,49",,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,http://www.e-map.ne.jp/p/711map/dtl/404951/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
144,セブン-イレブン ハートインＪＲ京都駅東塩小路店,Seven-Eleven Heart Inn JR Kyoto Station Higashi Shiokoji,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,売店",,京都府京都市下京区東塩小路町940,075-353-0080,内,外,,"1,10,35",,0630,2300,0630,2300,0630,2300,0630,2300,0630,2300,0630,2300,0630,2300,http://www.e-map.ne.jp/p/711map/dtl/392365/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
145,セブン-イレブン ハートインＪＲ京都駅中央改札口店,Seven-Eleven Heart Inn JR Kyoto Station Central Ticket Gate,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,売店",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-371-7027,内,外,,"1,56,40",,0630,0000,0630,0000,0630,0000,0630,0000,0630,0000,0630,0000,0630,0000,http://www.e-map.ne.jp/p/711map/dtl/385365/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
146,セブン-イレブン ハートインＪＲ京都駅東口改札内店,Seven-Eleven Heart Inn JR Kyoto Station East Entrance Ticket Entrance,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,売店",,京都府京都市下京区塩小路下ル東塩小路町 烏丸通,075-354-4720,内,内,,"1,63,62",,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,0630,2330,http://www.e-map.ne.jp/p/711map/dtl/367960/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
147,セブン-イレブン ハートイン京都地下鉄京都駅南口店,Seven-Eleven Heart Inn Kyoto Subway Kyoto Station South Entrance,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,売店",,京都府京都市下京区東塩小路高倉町地先,075-352-3563,内,外,,"b2,79,66",,0630,2300,0630,2300,0630,2300,0630,2300,0630,2300,0630,2300,0630,2300,http://www.e-map.ne.jp/p/711map/dtl/403637/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
148,セブン-イレブン キヨスクＪＲ京都駅2番のりば店,Seven-Eleven Kiosk JR Kyoto Station Platform 2,,,コンビニ・スーパー,売店,shop,,京都,売店,,京都府京都市下京区烏丸通塩小路下ル東塩小路町,-,内,内,,"1,60,53",,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,http://www.e-map.ne.jp/p/711map/dtl/401762/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
149,セブン-イレブン キヨスクＪＲ京都駅4番のりば店,Seven-Eleven Kiosk JR Kyoto Station Platform 4,,,コンビニ・スーパー,売店,shop,,京都,売店,,京都府京都市下京区烏丸通塩小路下ル東塩小路町,-,内,内,,"1,60,59",,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,0630,2130,http://www.e-map.ne.jp/p/711map/dtl/405317/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
150,セブン-イレブン キヨスクＪＲ京都駅30番のりば店,Seven-Eleven Kiosk JR Kyoto Station No. 30 bus stop,,,コンビニ・スーパー,売店,shop,,京都,売店,,京都府京都市下京区烏丸通塩小路下ル東塩小路町,-,内,内,,"1,30,49",,0700,2000,0700,2000,0700,2000,0700,2000,0700,2000,0700,2000,0700,2000,http://www.e-map.ne.jp/p/711map/dtl/399404/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
151,ファミリーマート京都駅前店,Family Mart Kyoto Ekimae,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ファミリーマート",,京都府京都市下京区東塩小路町849,075-353-0567,外,外,,"1,95,18",,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://as.chizumaru.com/famima/detailMap?account=famima&bid=36370,
152,（構外）ローソン 京都駅東塩小路店,Lawson Kyoto Station Higashi Shiokoji,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ローソン",,京都府京都市下京区東塩小路町558-8,075-344-3965,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,https://www.e-map.ne.jp/p/lawson/dtl/190532/,
153,（構外）セブン-イレブン京都東洞院七条店,Seven-Eleven Kyoto Higashinotoin Shichijo,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市下京区 東洞院通七条下ル塩小路町523,075-351-5132,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://www.e-map.ne.jp/p/711map/dtl/126592/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
154,（構外）ファミリーマート京都タワー前店,Family Mart Kyoto Tower Mae,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ファミリーマート",,京都府京都市下京区東洞院通七条 下る二丁目東塩小路町730,075-353-7017,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://as.chizumaru.com/famima/detailMap?account=famima&bid=36520,
155,（構外）ローソン 烏丸七条店,Lawson Karasuma Shichijo,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ローソン",,京都府京都市下京区七条通烏丸東入真苧屋町195,075-344-1557,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,https://www.e-map.ne.jp/p/lawson/dtl/020468/?&his=cb,
156,ローソン 新京都センタービル店,Lawson New Kyoto Center Building,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ローソン",,京都府京都市下京区塩小路通烏丸西入東塩小路町614,075-344-8072,外,外,,"1,15,9",,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,https://www.e-map.ne.jp/p/lawson/dtl/166580/?&his=cb,
157,（構外）セブン-イレブン下京区役所前店,Seven-Eleven Shimogyo Kuyakushomae,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市下京区木津屋橋通油小路東入南町577,075-351-0278,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://www.e-map.ne.jp/p/711map/dtl/277813/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
158,（構外）セブン‐イレブン 京都堀川塩小路南店,Seven-Eleven Kyoto Horikawa Shiokoji Minami,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市下京区西油小路町27,075-365-3107,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://www.e-map.ne.jp/p/711map/dtl/399597/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
159,ファミリーマート近鉄京都駅３番ホーム前店,Family Mart Kintetsu Kyoto Station Platform 3,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ファミリーマート",,京都府京都市下京区東塩小路釜殿町31-1,075-693-8109,内,内,,"2,39,72",,0600,2230,0600,2230,0600,2230,0600,2230,0600,2230,0600,2230,0600,2230,http://as.chizumaru.com/famima/detailMap?account=famima&bid=36673,
160,ファミリーマート 近鉄京都駅店,Family Mart Kintetsu Kyoto Station,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ファミリーマート",,京都府京都市下京区東塩小路釜殿町31-1 近鉄京都駅構内,075-694-1176,内,内,,"2,31,76",,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,0600,2400,http://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&bid=77888&c2=1&kkw001=%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%BC%E3%83%88+%E8%BF%91%E9%89%84%E4%BA%AC%E9%83%BD%E9%A7%85%E5%BA%97&pgret=2,
161,（構外）ローソン 京都駅八条口店,Lawson Kyoto Station Hachijoguchi,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ローソン",,京都府京都市南区西九条北ノ内町42-14,075-691-1883,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,https://www.e-map.ne.jp/p/lawson/dtl/292333/?&his=cb,
162,（構外）セブン-イレブン 京都駅八条口,Seven-Eleven Kyoto Station Hachijo Exit,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市下京区東塩小路釜殿町31-1,075-671-5677,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://www.e-map.ne.jp/p/711map/dtl/253882/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
163,（構外）セブン-イレブン 京都八条通東店,Seven-Eleven Kyoto Hachijo-dori Higashi,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市南区東九条西岩本町16,075-681-1007,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://www.e-map.ne.jp/p/711map/dtl/374829/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
164,セブン-イレブン ７ＦＳ京阪バス京都駅八条口店,Seven-Eleven 7FS Keihan Bus Kyoto Eki Hachijoguchi,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市南区東九条西山王町31,075-692-3510,外,外,,"1,92,96",,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,0600,2300,http://www.e-map.ne.jp/p/711map/dtl/363429/?&p_s1=40000&p_f2=1&p_f3=1&p_f4=1&cond40=1&cond41=1&&his=sw,
165,（構外）ローソン 竹田街道針小路店,Lawson Takeda-kaido Hari-koji,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ローソン",,京都府京都市南区東九条西山王町11,075-662-0633,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,https://www.e-map.ne.jp/p/lawson/dtl/220150/?&his=cb,
166,（構外）デイリーヤマザキ烏丸八条口店,Daily Yamazaki Karasuma Hachijoguchi,,,コンビニ・スーパー,コンビニ,convenience store,,京都,コンビニ,,京都府京都市南区東九条西山王町16,075-681-7647,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,,
167,（構外）ファミリーマート 烏丸八条口店,Family Mart Karasuma Hachijoguchi,,,コンビニ・スーパー,コンビニ,convenience store,,京都,"コンビニ,ファミリーマート",,京都府京都市南区東九条上殿田町 41-1,075-693-7413,外,外,,,,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,http://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&bid=30489&c2=1&kkw001=%E7%83%8F%E4%B8%B8%E5%85%AB%E6%9D%A1%E5%8F%A3%E5%BA%97&pgret=2,
168,牛たん 伊之助,Gyutan Inosuke,,,レストラン・お食事,飲食店,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,和食,日本食,肉料理",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-353-5618,内,外,分煙,"11,41,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.create-restaurants.co.jp/shop/index.php?controller=FrontCrShop&action=shop_show&id=1077&lang=ja,
169,先斗入ル,Pontoiru,,,レストラン・お食事,居酒屋・創作料理,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,創作料理",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-365-8740,内,外,分煙,"11,39,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.pontoiru.com/,
170,京料理 栄寿庵,Kyoto Cuisine Eijuan,,,レストラン・お食事,日本食・寿司,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,日本食",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-343-8108,内,外,禁煙,"11,34,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.kyoto-hatoya.co.jp/restaurant/eijuan,
171,八丁味處 串の坊,KUSHINOBOU,,,レストラン・お食事,居酒屋・創作料理,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,日本食",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-365-8734,内,外,禁煙,"11,30,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.thecube.co.jp/shop/117,ザキューブのページ
172,京都ことこと,Kyoto simmers.,,,レストラン・お食事,日本食・寿司,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,日本食,創作料理",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-365-8733,内,外,禁煙,"11,40,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.thecube.co.jp/shop/161,ザキューブのページ
173,名代とんかつ かつくら,Katsukura,,,レストラン・お食事,日本食・寿司,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,肉料理,日本食",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-365-8666,内,外,禁煙,"11,32,48",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.thecube.co.jp/shop/122,ザキューブのページ
174,キッチン ゴン,Kitchen Gon,,,レストラン・お食事,レストラン,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,日本食",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-352-9528,内,外,禁煙,"11,37,49",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.thecube.co.jp/shop/149,ザキューブのページ
175,京・四条 田ごと,Kyoto TAGOTO,,,レストラン・お食事,日本食・寿司,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,寿司,日本食,創作料理",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-365-8729,内,外,禁煙,"11,36,47",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.thecube.co.jp/shop/114,ザキューブのページ
176,京都 錦わらい,Kyoto Brocade smile.,,,レストラン・お食事,日本食・寿司,restaurant,THE CUBE 11F,京都,"飲食店,レストラン,日本食",,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-354-7797,内,外,禁煙,"11,38,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.thecube.co.jp/shop/115,ザキューブのページ
177,ヴィ・ド・フランス,VI DO and France,,,カフェ・スイーツ,カフェ・スイーツ,restaurant,THE CUBE B2F,京都,喫茶店,,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-365-8670,内,外,禁煙,"b2,56,42",,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,http://www.thecube.co.jp/shop/144,ザキューブのページ
178,ジェラート ピケ カフェ ビオ コンセプト,Gelato A picket A cafe Biot Concept.,,,カフェ・スイーツ,カフェ・スイーツ,restaurant,THE CUBE B2F,京都,喫茶店,,京都市下京区烏丸通塩小路下ル東塩小路町901 京都駅ビル,075-746-5119,内,外,禁煙,"b2,54,42",,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2100,1000,2100,http://www.thecube.co.jp/shop/172,ザキューブのページ
179,葵茶屋,"Bamboo plate dish ""Aoi-jaya""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-6233,内,外,禁煙,"11,14,43",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-station-building.co.jp/restaurant_cafe/264.html,京都駅ビルのページ
180,和幸,"Fried pork cutlet ""Wako""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,創作料理,肉料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-342-0024,内,外,禁煙,"11,17,44",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.wako-group.co.jp/shop/detail/2077,
181,京都和久傳,"Kyoto style food ""Kyoto Wakuden""",,,レストラン・お食事,日本食・寿司,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,日本食,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-365-1000,内,外,禁煙,"11,19,44",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.wakuden.jp/ryotei/kyoto/,
182,モレット,"Egg dish ""Mollette""",,,レストラン・お食事,レストラン,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,創作料理",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-6255,内,外,禁煙,"11,21,44",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.kyoto-station-building.co.jp/restaurant_cafe/267.html,京都駅ビルのページ
183,アンティカフェ,"Italian food ""ante Cafe""",,,カフェ・スイーツ,カフェ・スイーツ,restaurant,ジェイアール京都伊勢丹11F,京都,"喫茶店,スイーツ",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-342-0025,内,外,禁煙,"11,24,43",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://www.touyoutei.co.jp/shop_post/isetan/,
184,點心茶室,"Chinese food ""Tenshin-Chashitsu""",,,レストラン・お食事,中華・アジアン,restaurant,ジェイアール京都伊勢丹11F,京都,"飲食店,レストラン,中華",,京都府京都市下京区烏丸通塩小路下ル東塩小路町,075-352-6262,内,外,禁煙,"11,13,46",,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,https://www.weishin.co.jp/shop/index/7,
